System                   FRET efficiency        STD
DNAo                     0.252526391            0.025500097         
DNAo + F5A               0.284770687            0.047998379
DNAo + HNP               0.409657215            0.039979038
DNAo + Mg2+              0.552761887            0.027607964
DNAo + F5A + Mg2+        0.62518762             0.022015486
DNAo + HNP + Mg2+        0.957805467            0.054570734

DNAr                     0.085520928            0.007313039
DNAr + F5A               0.156797789            0.025109221
DNAr + HNP               0.279026304            0.027542776
DNAr + Mg2+              0.16519854             0.009386953
DNAr + F5A + Mg2+        0.234601701            0.011381345
DNAr + HNP + Mg2+        0.215824455            0.014666668
